date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:46:12	1848300/1848300	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/library/feynman.jpg	C:/My%20Web%20Sites/yash/kchang.me/media/library/feynman.jpg	(from https://kchang.me/library)
17:46:29	641755/641755	---M--	200	added ('OK')	video/mp4	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/cases/viewpure/page/viewpure_v1_ads.mp4	C:/My%20Web%20Sites/yash/kchang.me/media/cases/viewpure/page/viewpure_v1_ads.mp4	(from https://kchang.me/viewpure)
17:46:30	353240/353240	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/cases/joingiving/page/imac_mock.png	C:/My%20Web%20Sites/yash/kchang.me/media/cases/joingiving/page/imac_mock.png	(from https://kchang.me/joingiving)
17:46:38	99967/99967	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/cases/joingiving/page/widget.jpg	C:/My%20Web%20Sites/yash/kchang.me/media/cases/joingiving/page/widget.jpg	(from https://kchang.me/joingiving)
17:47:01	825175/825175	---M--	200	added ('OK')	video/mp4	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/cases/joingiving/page/gitg_campaign.mp4	C:/My%20Web%20Sites/yash/kchang.me/media/cases/joingiving/page/gitg_campaign.mp4	(from https://kchang.me/joingiving)
17:47:16	654719/654719	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/cases/joingiving/page/kfc.png	C:/My%20Web%20Sites/yash/kchang.me/media/cases/joingiving/page/kfc.png	(from https://kchang.me/joingiving)
17:47:19	1925024/1925024	---M--	200	added ('OK')	video/mp4	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/cases/viewpure/page/viewpure_vf_main.mp4	C:/My%20Web%20Sites/yash/kchang.me/media/cases/viewpure/page/viewpure_vf_main.mp4	(from https://kchang.me/viewpure)
17:47:36	417419/417419	---M--	200	added ('OK')	video/mp4	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/cases/joingiving/page/redesigned_signup.mp4	C:/My%20Web%20Sites/yash/kchang.me/media/cases/joingiving/page/redesigned_signup.mp4	(from https://kchang.me/joingiving)
17:47:42	579223/579223	---M--	200	added ('OK')	video/mp4	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/cases/joingiving/page/old_signup.mp4	C:/My%20Web%20Sites/yash/kchang.me/media/cases/joingiving/page/old_signup.mp4	(from https://kchang.me/joingiving)
17:47:43	117479/117479	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/cases/joingiving/page/browse_nonprofits.jpg	C:/My%20Web%20Sites/yash/kchang.me/media/cases/joingiving/page/browse_nonprofits.jpg	(from https://kchang.me/joingiving)
17:47:44	358328/358328	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/cases/joingiving/page/homepage.png	C:/My%20Web%20Sites/yash/kchang.me/media/cases/joingiving/page/homepage.png	(from https://kchang.me/joingiving)
17:47:50	637/637	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2018:29:08%20GMT	https://kchang.me/css/piece.min.css?v1536589542527	C:/My%20Web%20Sites/yash/kchang.me/css/piece.minb410.css	(from https://kchang.me/library/this-is-water)
17:47:50	130432/130432	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/cases/joingiving/page/business_profile.jpg	C:/My%20Web%20Sites/yash/kchang.me/media/cases/joingiving/page/business_profile.jpg	(from https://kchang.me/joingiving)
17:47:52	33764/33764	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2018:29:08%20GMT	https://kchang.me/css/main.min.css?v1536589542392	C:/My%20Web%20Sites/yash/kchang.me/css/main.minaa2f.css	(from https://kchang.me/library/harrison-bergeron)
17:47:52	637/637	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2018:29:08%20GMT	https://kchang.me/css/piece.min.css?v1536589542392	C:/My%20Web%20Sites/yash/kchang.me/css/piece.minaa2f.css	(from https://kchang.me/library/harrison-bergeron)
17:47:53	33764/33764	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2018:29:08%20GMT	https://kchang.me/css/main.min.css?v1536589542527	C:/My%20Web%20Sites/yash/kchang.me/css/main.minb410.css	(from https://kchang.me/library/this-is-water)
17:47:55	637/637	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2018:29:08%20GMT	https://kchang.me/css/piece.min.css?v1536589542474	C:/My%20Web%20Sites/yash/kchang.me/css/piece.minf6c0.css	(from https://kchang.me/library/there-will-come-soft-rains)
17:47:56	33764/33764	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2018:29:08%20GMT	https://kchang.me/css/main.min.css?v1536589542474	C:/My%20Web%20Sites/yash/kchang.me/css/main.minf6c0.css	(from https://kchang.me/library/there-will-come-soft-rains)
17:48:19	1427765/1427765	---M--	200	added ('OK')	video/mp4	date:Thu,%2006%20Sep%202018%2017:46:33%20GMT	https://kchang.me/media/cases/joingiving/page/old_landing_page.mp4	C:/My%20Web%20Sites/yash/kchang.me/media/cases/joingiving/page/old_landing_page.mp4	(from https://kchang.me/joingiving)
